Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"RFB","Fertilizers by Product","112","Belarus","5510","Production","4016","Potassium chloride (muriate of potash) (MOP)","2014","2014","t","10336552","A","Official value"
"RFB","Fertilizers by Product","112","Belarus","5510","Production","4016","Potassium chloride (muriate of potash) (MOP)","2015","2015","t","10494479","A","Official value"
"RFB","Fertilizers by Product","112","Belarus","5510","Production","4016","Potassium chloride (muriate of potash) (MOP)","2016","2016","t","10015979","A","Official value"
"RFB","Fertilizers by Product","112","Belarus","5510","Production","4016","Potassium chloride (muriate of potash) (MOP)","2017","2017","t","11518455","A","Official value"
"RFB","Fertilizers by Product","112","Belarus","5510","Production","4016","Potassium chloride (muriate of potash) (MOP)","2018","2018","t","11901949","A","Official value"
"RFB","Fertilizers by Product","112","Belarus","5510","Production","4016","Potassium chloride (muriate of potash) (MOP)","2019","2019","t","11902775","A","Official value"
"RFB","Fertilizers by Product","112","Belarus","5510","Production","4016","Potassium chloride (muriate of potash) (MOP)","2020","2020","t","12233880","A","Official value"
"RFB","Fertilizers by Product","112","Belarus","5910","Export quantity","4016","Potassium chloride (muriate of potash) (MOP)","2014","2014","t","9474371.76","A","Official value"
"RFB","Fertilizers by Product","112","Belarus","5910","Export quantity","4016","Potassium chloride (muriate of potash) (MOP)","2015","2015","t","9188923.73","A","Official value"
"RFB","Fertilizers by Product","112","Belarus","5910","Export quantity","4016","Potassium chloride (muriate of potash) (MOP)","2016","2016","t","6800538.57","X","Value from external organization"
"RFB","Fertilizers by Product","112","Belarus","5910","Export quantity","4016","Potassium chloride (muriate of potash) (MOP)","2017","2017","t","10671309.04","A","Official value"
"RFB","Fertilizers by Product","112","Belarus","5910","Export quantity","4016","Potassium chloride (muriate of potash) (MOP)","2018","2018","t","9458033.14","X","Value from external organization"
"RFB","Fertilizers by Product","112","Belarus","5910","Export quantity","4016","Potassium chloride (muriate of potash) (MOP)","2019","2019","t","10323959.94","A","Official value"
"RFB","Fertilizers by Product","112","Belarus","5910","Export quantity","4016","Potassium chloride (muriate of potash) (MOP)","2020","2020","t","11758387.01","A","Official value"
"RFB","Fertilizers by Product","112","Belarus","5910","Export quantity","4016","Potassium chloride (muriate of potash) (MOP)","2021","2021","t","11185847.64","X","Value from external organization"
"RFB","Fertilizers by Product","112","Belarus","5910","Export quantity","4016","Potassium chloride (muriate of potash) (MOP)","2022","2022","t","4245776.26","X","Value from external organization"
"RFB","Fertilizers by Product","112","Belarus","5910","Export quantity","4016","Potassium chloride (muriate of potash) (MOP)","2023","2023","t","4937826.81","X","Value from external organization"
"RFB","Fertilizers by Product","112","Belarus","5910","Export quantity","4016","Potassium chloride (muriate of potash) (MOP)","2024","2024","t","3587801.48","X","Value from external organization"
